symbol,starttime,start_LTP,endtime,end_LTP,change_pct,start_buySellRatio,end_buySellRatio,bidAskSpread_start,bidAskSpread_end
NSE:FACT-EQ,2025-09-25 09:56:02.829843,974.00,2025-09-25 10:17:18.813942,982.00,0.741,0.3803,0.4599,0.6000,0.5500
NSE:FACT-EQ,2025-09-25 10:17:55.304088,982.50,2025-09-25 10:46:53.820635,976.00,0.664,0.4581,0.3353,0.3500,0.4000
NSE:FACT-EQ,2025-09-25 14:34:06.583817,973.20,2025-09-25 15:03:59.913298,966.80,0.678,0.2916,0.3018,0.7500,0.0500
NSE:FDC-EQ,2025-09-25 09:33:53.702792,472.00,2025-09-25 09:56:08.058450,474.50,0.673,0.3004,0.4547,0.5000,0.4500
NSE:FDC-EQ,2025-09-25 11:21:51.181263,472.05,2025-09-25 11:51:50.768659,469.35,0.699,0.4668,0.3931,0.5500,0.7500
NSE:FDC-EQ,2025-09-25 14:21:23.220152,469.85,2025-09-25 14:51:21.325274,466.50,0.666,0.4168,0.3906,0.6000,0.2500
NSE:FDC-EQ,2025-09-25 14:52:25.178938,466.85,2025-09-25 15:13:44.580882,463.50,0.686,0.3781,0.3440,0.5000,0.1000
NSE:FEDERALBNK-EQ,2025-09-25 14:57:04.870125,194.40,2025-09-25 15:08:18.738160,193.06,0.666,1.2362,0.9730,0.0500,0.0200
NSE:FEDFINA-EQ,2025-09-25 09:34:13.695577,151.03,2025-09-25 09:51:00.485555,150.03,0.672,0.7336,0.6520,0.1600,0.1300
NSE:FEDFINA-EQ,2025-09-25 10:10:40.076087,150.69,2025-09-25 10:40:31.924669,149.63,0.667,0.6602,0.5902,0.1200,0.0300
NSE:FEDFINA-EQ,2025-09-25 10:40:35.602325,149.63,2025-09-25 11:03:28.183272,150.60,0.698,0.5928,0.7597,0.0300,0.1200
NSE:FEDFINA-EQ,2025-09-25 11:21:49.204372,150.52,2025-09-25 11:51:41.107536,149.70,0.661,0.6848,0.6416,0.0800,0.0900
